timestamp,user_id,status_code,response_time_ms
2024-05-01 00:00:00,user_3,200,205
2024-05-01 00:00:00,user_2,404,274
2024-05-01 00:00:00,user_16,200,185
2024-05-01 00:00:00,user_1,200,221
2024-05-01 00:00:00,user_13,200,181
2024-05-01 00:01:00,user_5,200,267
2024-05-01 00:01:00,user_11,200,142
2024-05-01 00:01:00,user_20,200,202
2024-05-01 00:01:00,user_8,200,179
2024-05-01 00:01:00,user_14,200,275
2024-05-01 00:02:00,user_18,200,300
2024-05-01 00:02:00,user_19,200,211
2024-05-01 00:02:00,user_15,200,141
2024-05-01 00:02:00,user_5,200,238
2024-05-01 00:02:00,user_14,200,223
2024-05-01 00:03:00,user_20,200,180
2024-05-01 00:03:00,user_18,200,155
2024-05-01 00:03:00,user_3,200,204
2024-05-01 00:03:00,user_14,200,201
2024-05-01 00:03:00,user_12,200,181
2024-05-01 00:04:00,user_9,200,217
2024-05-01 00:04:00,user_7,200,113
2024-05-01 00:04:00,user_2,200,142
2024-05-01 00:04:00,user_20,500,155
2024-05-01 00:04:00,user_10,200,233
2024-05-01 00:05:00,user_10,200,192
2024-05-01 00:05:00,user_8,200,217
2024-05-01 00:05:00,user_19,200,197
2024-05-01 00:05:00,user_20,404,316
2024-05-01 00:05:00,user_17,200,181
2024-05-01 00:06:00,user_19,200,190
2024-05-01 00:06:00,user_12,500,301
2024-05-01 00:06:00,user_2,404,178
2024-05-01 00:06:00,user_11,200,193
2024-05-01 00:06:00,user_3,404,189
2024-05-01 00:07:00,user_7,200,208
2024-05-01 00:07:00,user_20,200,211
2024-05-01 00:07:00,user_11,200,132
2024-05-01 00:07:00,user_4,500,175
2024-05-01 00:07:00,user_15,200,125
2024-05-01 00:08:00,user_16,200,183
2024-05-01 00:08:00,user_10,200,222
2024-05-01 00:08:00,user_1,200,129
2024-05-01 00:08:00,user_5,200,207
2024-05-01 00:08:00,user_14,200,101
2024-05-01 00:09:00,user_15,200,184
2024-05-01 00:09:00,user_10,200,237
2024-05-01 00:09:00,user_20,200,187
2024-05-01 00:09:00,user_11,200,199
2024-05-01 00:09:00,user_2,200,206
2024-05-01 00:10:00,user_17,200,193
2024-05-01 00:10:00,user_20,500,268
2024-05-01 00:10:00,user_18,200,150
2024-05-01 00:10:00,user_16,200,116
2024-05-01 00:10:00,user_7,200,125
2024-05-01 00:11:00,user_3,200,280
2024-05-01 00:11:00,user_20,200,188
2024-05-01 00:11:00,user_6,200,133
2024-05-01 00:11:00,user_16,200,227
2024-05-01 00:11:00,user_5,200,222
2024-05-01 00:12:00,user_8,200,229
2024-05-01 00:12:00,user_1,500,221
2024-05-01 00:12:00,user_16,200,162
2024-05-01 00:12:00,user_14,200,276
2024-05-01 00:12:00,user_19,200,118
2024-05-01 00:13:00,user_12,200,186
2024-05-01 00:13:00,user_16,200,148
2024-05-01 00:13:00,user_4,200,232
2024-05-01 00:13:00,user_2,404,199
2024-05-01 00:13:00,user_10,500,97
2024-05-01 00:14:00,user_13,200,205
2024-05-01 00:14:00,user_18,200,136
2024-05-01 00:14:00,user_16,200,251
2024-05-01 00:14:00,user_6,200,168
2024-05-01 00:14:00,user_15,200,292
2024-05-01 00:15:00,user_19,200,205
2024-05-01 00:15:00,user_2,404,287
2024-05-01 00:15:00,user_14,404,177
2024-05-01 00:15:00,user_11,200,255
2024-05-01 00:15:00,user_4,200,211
